"Perioden";"Regio's";"Vestiging in de gemeente /Vestiging vanuit een andere gemeente (aantal)";"Vestiging in de gemeente /Immigratie (aantal)";"Vertrek uit de gemeente/Vertrek naar andere gemeente (aantal)";"Vertrek uit de gemeente/Emigratie inclusief adm. correcties (aantal)"
"2006";"Roggel en Neer";357;20;344;4
"2007";"Roggel en Neer";;;;
"2008";"Roggel en Neer";;;;
"2009";"Roggel en Neer";;;;
"2010";"Roggel en Neer";;;;
"2011";"Roggel en Neer";;;;
"2012";"Roggel en Neer";;;;
"2013";"Roggel en Neer";;;;
"2014";"Roggel en Neer";;;;
"2015";"Roggel en Neer";;;;
"2016";"Roggel en Neer";;;;
"2017";"Roggel en Neer";;;;
"2018";"Roggel en Neer";;;;
"2019";"Roggel en Neer";;;;
"2020";"Roggel en Neer";;;;
"2021";"Roggel en Neer";;;;
"2022";"Roggel en Neer";;;;
"2023";"Roggel en Neer";;;;
"2002";"De Ronde Venen";915;127;980;155
"2003";"De Ronde Venen";787;106;1040;112
"2004";"De Ronde Venen";831;123;1002;120
"2005";"De Ronde Venen";856;117;995;157
"2006";"De Ronde Venen";1132;145;1089;131
"2007";"De Ronde Venen";1026;174;1127;173
"2008";"De Ronde Venen";907;168;1057;159
"2009";"De Ronde Venen";689;179;927;125
"2010";"De Ronde Venen";784;164;1031;141
"2011";"De Ronde Venen";1104;244;1193;224
"2012";"De Ronde Venen";1121;196;1274;176
"2013";"De Ronde Venen";1070;239;1309;201
"2014";"De Ronde Venen";1242;215;1360;190
"2015";"De Ronde Venen";1482;245;1508;236
"2016";"De Ronde Venen";1695;221;1564;210
"2017";"De Ronde Venen";2334;282;1601;216
"2018";"De Ronde Venen";1951;314;1573;235
"2019";"De Ronde Venen";1827;318;1557;205
"2020";"De Ronde Venen";1835;243;1674;176
"2021";"De Ronde Venen";1994;237;1776;216
"2022";"De Ronde Venen";2003;516;1614;287
"2023";"De Ronde Venen";1814;380;1691;270
"2002";"Roosendaal";2299;436;2044;473
"2003";"Roosendaal";1970;450;2359;527
"2004";"Roosendaal";1967;418;2248;499
"2005";"Roosendaal";2306;360;2230;657
"2006";"Roosendaal";2040;406;2186;657
"2007";"Roosendaal";2075;395;2172;635
"2008";"Roosendaal";2211;495;2089;545
"2009";"Roosendaal";1861;466;1940;380
"2010";"Roosendaal";1780;501;1939;485
"2011";"Roosendaal";1750;650;1956;570
"2012";"Roosendaal";1820;609;2114;585
"2013";"Roosendaal";2026;605;2208;555
"2014";"Roosendaal";2135;648;2311;610
"2015";"Roosendaal";2315;750;2304;640
"2016";"Roosendaal";2555;729;2484;649
"2017";"Roosendaal";2480;794;2727;598
"2018";"Roosendaal";2415;894;2578;612
"2019";"Roosendaal";2524;1091;2631;695
"2020";"Roosendaal";2487;878;2668;633
"2021";"Roosendaal";2482;933;2477;735
"2022";"Roosendaal";2440;1366;2490;739
"2023";"Roosendaal";2438;1062;2709;624
"2002";"Rotterdam";21713;7985;25189;5319
"2003";"Rotterdam";21398;8674;23767;8199
"2004";"Rotterdam";21499;6928;24395;8352
"2005";"Rotterdam";19987;5731;24917;10336
"2006";"Rotterdam";21779;6140;23783;10802
"2007";"Rotterdam";21877;7503;23991;8763
"2008";"Rotterdam";22407;9525;22744;7611
"2009";"Rotterdam";21722;9535;22047;6475
"2010";"Rotterdam";22502;10830;22394;8551
"2011";"Rotterdam";22430;11858;21934;9235
"2012";"Rotterdam";21875;10850;22349;12893
"2013";"Rotterdam";22183;10460;21799;11164
"2014";"Rotterdam";23781;10953;22470;9898
"2015";"Rotterdam";25361;11592;23832;9590
"2016";"Rotterdam";26745;12066;26348;9882
"2017";"Rotterdam";27116;13436;28058;10485
"2018";"Rotterdam";26109;14178;27773;8771
"2019";"Rotterdam";26699;16460;29146;9717
"2020";"Rotterdam";27785;13956;32513;9753
"2021";"Rotterdam";28903;16203;34096;8790
"2022";"Rotterdam";28118;21751;32591;9987
"2023";"Rotterdam";30211;19136;32475;11141
"2002";"Rozenburg";396;65;501;43
"2003";"Rozenburg";403;42;510;47
"2004";"Rozenburg";390;51;517;54
"2005";"Rozenburg";349;36;614;33
"2006";"Rozenburg";343;35;566;38
"2007";"Rozenburg";369;36;481;45
"2008";"Rozenburg";324;61;443;33
"2009";"Rozenburg";394;38;417;45
"2010";"Rozenburg";;;;
"2011";"Rozenburg";;;;
"2012";"Rozenburg";;;;
"2013";"Rozenburg";;;;
"2014";"Rozenburg";;;;
"2015";"Rozenburg";;;;
"2016";"Rozenburg";;;;
"2017";"Rozenburg";;;;
"2018";"Rozenburg";;;;
"2019";"Rozenburg";;;;
"2020";"Rozenburg";;;;
"2021";"Rozenburg";;;;
"2022";"Rozenburg";;;;
"2023";"Rozenburg";;;;
"2002";"Rozendaal";74;4;82;3
"2003";"Rozendaal";84;1;94;6
"2004";"Rozendaal";78;4;82;1
"2005";"Rozendaal";85;6;102;3
"2006";"Rozendaal";111;17;105;3
"2007";"Rozendaal";58;5;85;2
"2008";"Rozendaal";85;17;89;11
"2009";"Rozendaal";60;10;80;7
"2010";"Rozendaal";92;8;77;2
"2011";"Rozendaal";81;3;72;9
"2012";"Rozendaal";74;12;80;14
"2013";"Rozendaal";77;7;78;3
"2014";"Rozendaal";76;3;66;5
"2015";"Rozendaal";61;11;64;10
"2016";"Rozendaal";79;6;76;4
"2017";"Rozendaal";208;12;121;13
"2018";"Rozendaal";143;16;70;8
"2019";"Rozendaal";143;16;103;10
"2020";"Rozendaal";110;8;86;5
"2021";"Rozendaal";116;11;102;2
"2022";"Rozendaal";110;22;126;3
"2023";"Rozendaal";126;65;101;14
"2002";"Rucphen";563;27;564;33
"2003";"Rucphen";528;40;472;82
"2004";"Rucphen";437;29;471;75
"2005";"Rucphen";526;58;566;68
"2006";"Rucphen";534;50;481;67
"2007";"Rucphen";640;81;547;67
"2008";"Rucphen";629;63;535;36
"2009";"Rucphen";497;49;508;74
"2010";"Rucphen";486;66;498;62
"2011";"Rucphen";480;94;558;63
"2012";"Rucphen";515;101;542;70
"2013";"Rucphen";589;111;656;94
"2014";"Rucphen";704;129;587;110
"2015";"Rucphen";761;154;633;128
"2016";"Rucphen";885;153;732;128
"2017";"Rucphen";879;188;766;161
"2018";"Rucphen";1003;195;785;161
"2019";"Rucphen";1069;297;744;237
"2020";"Rucphen";1085;257;854;220
"2021";"Rucphen";1009;260;737;223
"2022";"Rucphen";963;319;659;204
"2023";"Rucphen";1180;180;818;183
"2002";"Ruurlo";511;40;340;11
"2003";"Ruurlo";357;10;304;12
"2004";"Ruurlo";303;15;284;23
"2005";"Ruurlo";;;;
"2006";"Ruurlo";;;;
"2007";"Ruurlo";;;;
"2008";"Ruurlo";;;;
"2009";"Ruurlo";;;;
"2010";"Ruurlo";;;;
"2011";"Ruurlo";;;;
"2012";"Ruurlo";;;;
"2013";"Ruurlo";;;;
"2014";"Ruurlo";;;;
"2015";"Ruurlo";;;;
"2016";"Ruurlo";;;;
"2017";"Ruurlo";;;;
"2018";"Ruurlo";;;;
"2019";"Ruurlo";;;;
"2020";"Ruurlo";;;;
"2021";"Ruurlo";;;;
"2022";"Ruurlo";;;;
"2023";"Ruurlo";;;;
"2002";"Sas van Gent";378;86;383;75
"2003";"Sas van Gent";;;;
"2004";"Sas van Gent";;;;
"2005";"Sas van Gent";;;;
"2006";"Sas van Gent";;;;
"2007";"Sas van Gent";;;;
"2008";"Sas van Gent";;;;
"2009";"Sas van Gent";;;;
"2010";"Sas van Gent";;;;
"2011";"Sas van Gent";;;;
"2012";"Sas van Gent";;;;
"2013";"Sas van Gent";;;;
"2014";"Sas van Gent";;;;
"2015";"Sas van Gent";;;;
"2016";"Sas van Gent";;;;
"2017";"Sas van Gent";;;;
"2018";"Sas van Gent";;;;
"2019";"Sas van Gent";;;;
"2020";"Sas van Gent";;;;
"2021";"Sas van Gent";;;;
"2022";"Sas van Gent";;;;
"2023";"Sas van Gent";;;;
"2002";"Sassenheim";676;75;669;41
"2003";"Sassenheim";593;56;671;47
"2004";"Sassenheim";744;57;728;94
"2005";"Sassenheim";641;72;747;69
"2006";"Sassenheim";;;;
"2007";"Sassenheim";;;;
"2008";"Sassenheim";;;;
"2009";"Sassenheim";;;;
"2010";"Sassenheim";;;;
"2011";"Sassenheim";;;;
"2012";"Sassenheim";;;;
"2013";"Sassenheim";;;;
"2014";"Sassenheim";;;;
"2015";"Sassenheim";;;;
"2016";"Sassenheim";;;;
"2017";"Sassenheim";;;;
"2018";"Sassenheim";;;;
"2019";"Sassenheim";;;;
"2020";"Sassenheim";;;;
"2021";"Sassenheim";;;;
"2022";"Sassenheim";;;;
"2023";"Sassenheim";;;;
"2002";"Schagen";971;82;676;94
"2003";"Schagen";1396;154;741;68
"2004";"Schagen";1131;123;760;131
"2005";"Schagen";1100;63;880;151
"2006";"Schagen";1133;83;860;48
"2007";"Schagen";941;82;949;136
"2008";"Schagen";774;84;1114;83
"2009";"Schagen";613;91;704;96
"2010";"Schagen";573;63;683;48
"2011";"Schagen";639;82;683;73
"2012";"Schagen";621;40;679;64
"2013";"Schagen";1188;286;1443;226
"2014";"Schagen";1486;306;1455;216
"2015";"Schagen";1524;270;1482;266
"2016";"Schagen";1664;377;1763;203
"2017";"Schagen";1821;285;1706;191
"2018";"Schagen";1899;256;1669;208
"2019";"Schagen";1595;314;1692;192
"2020";"Schagen";1669;212;1528;173
"2021";"Schagen";1932;242;1542;196
"2022";"Schagen";1932;650;1467;363
"2023";"Schagen";1923;406;1536;299
"2002";"Scheemda";568;30;578;28
"2003";"Scheemda";541;22;595;40
"2004";"Scheemda";518;22;662;34
"2005";"Scheemda";596;34;654;53
"2006";"Scheemda";616;34;613;42
"2007";"Scheemda";722;40;585;59
"2008";"Scheemda";713;36;694;31
"2009";"Scheemda";574;25;616;24
"2010";"Scheemda";;;;
"2011";"Scheemda";;;;
"2012";"Scheemda";;;;
"2013";"Scheemda";;;;
"2014";"Scheemda";;;;
"2015";"Scheemda";;;;
"2016";"Scheemda";;;;
"2017";"Scheemda";;;;
"2018";"Scheemda";;;;
"2019";"Scheemda";;;;
"2020";"Scheemda";;;;
"2021";"Scheemda";;;;
"2022";"Scheemda";;;;
"2023";"Scheemda";;;;
"2002";"Schermer";134;10;175;25
"2003";"Schermer";172;21;186;9
"2004";"Schermer";179;7;218;17
"2005";"Schermer";202;13;206;13
"2006";"Schermer";407;9;190;1
"2007";"Schermer";360;13;212;9
"2008";"Schermer";192;5;193;20
"2009";"Schermer";180;23;196;3
"2010";"Schermer";210;9;229;19
"2011";"Schermer";288;20;230;5
"2012";"Schermer";242;49;258;21
"2013";"Schermer";187;46;205;27
"2014";"Schermer";208;51;289;81
"2015";"Schermer";;;;
"2016";"Schermer";;;;
"2017";"Schermer";;;;
"2018";"Schermer";;;;
"2019";"Schermer";;;;
"2020";"Schermer";;;;
"2021";"Schermer";;;;
"2022";"Schermer";;;;
"2023";"Schermer";;;;
"2002";"Scherpenzeel";283;21;368;21
"2003";"Scherpenzeel";270;12;324;9
"2004";"Scherpenzeel";259;13;383;7
"2005";"Scherpenzeel";289;20;367;24
"2006";"Scherpenzeel";298;20;363;19
"2007";"Scherpenzeel";374;44;328;19
"2008";"Scherpenzeel";367;26;330;28
"2009";"Scherpenzeel";361;34;291;14
"2010";"Scherpenzeel";236;20;296;12
"2011";"Scherpenzeel";236;25;278;34
"2012";"Scherpenzeel";243;50;317;17
"2013";"Scherpenzeel";322;40;293;27
"2014";"Scherpenzeel";302;40;349;28
"2015";"Scherpenzeel";304;62;365;26
"2016";"Scherpenzeel";502;73;440;29
"2017";"Scherpenzeel";503;52;502;33
"2018";"Scherpenzeel";406;48;374;30
"2019";"Scherpenzeel";414;47;419;53
"2020";"Scherpenzeel";595;38;386;44
"2021";"Scherpenzeel";523;38;397;22
"2022";"Scherpenzeel";337;123;372;65
"2023";"Scherpenzeel";328;39;427;32
"2002";"Schiedam";3459;513;4189;735
"2003";"Schiedam";3577;494;3754;789
"2004";"Schiedam";3589;500;3826;689
"2005";"Schiedam";3778;501;3814;685
"2006";"Schiedam";3600;568;3749;780
"2007";"Schiedam";3824;684;3719;1109
"2008";"Schiedam";3806;886;3709;801
"2009";"Schiedam";3661;956;3808;702
"2010";"Schiedam";3494;1080;3668;871
"2011";"Schiedam";3478;1231;3615;751
"2012";"Schiedam";3532;1257;3613;1275
"2013";"Schiedam";3565;1251;3525;1149
"2014";"Schiedam";3734;1328;3601;1255
"2015";"Schiedam";3747;1315;3731;1271
"2016";"Schiedam";4143;1368;3918;997
"2017";"Schiedam";4028;1409;4289;1230
"2018";"Schiedam";3873;1480;4449;912
"2019";"Schiedam";4245;1989;4571;986
"2020";"Schiedam";4613;1514;4665;962
"2021";"Schiedam";4608;1638;4854;1162
"2022";"Schiedam";4502;2091;4586;1165
"2023";"Schiedam";4799;1961;4742;969
"2002";"Schiermonnikoog";54;7;87;1
"2003";"Schiermonnikoog";68;4;76;5
"2004";"Schiermonnikoog";60;4;55;3
"2005";"Schiermonnikoog";59;2;63;6
"2006";"Schiermonnikoog";36;0;61;8
"2007";"Schiermonnikoog";53;8;56;0
"2008";"Schiermonnikoog";47;6;57;5
"2009";"Schiermonnikoog";42;8;45;4
"2010";"Schiermonnikoog";67;8;56;5
"2011";"Schiermonnikoog";36;7;57;9
"2012";"Schiermonnikoog";67;4;39;-1
"2013";"Schiermonnikoog";55;4;64;7
"2014";"Schiermonnikoog";55;5;64;4
"2015";"Schiermonnikoog";57;7;67;4
"2016";"Schiermonnikoog";70;9;52;4
"2017";"Schiermonnikoog";72;4;73;7
"2018";"Schiermonnikoog";61;13;54;9
"2019";"Schiermonnikoog";76;16;68;12
"2020";"Schiermonnikoog";54;6;60;5
"2021";"Schiermonnikoog";80;15;65;6
"2022";"Schiermonnikoog";53;63;59;17
"2023";"Schiermonnikoog";59;52;66;51
"2002";"Schijndel";509;135;702;109
"2003";"Schijndel";543;126;677;137
"2004";"Schijndel";494;62;931;102
"2005";"Schijndel";590;76;658;125
"2006";"Schijndel";590;69;648;92
"2007";"Schijndel";522;91;643;54
"2008";"Schijndel";621;104;703;43
"2009";"Schijndel";667;87;626;73
"2010";"Schijndel";662;86;621;118
"2011";"Schijndel";596;86;682;83
"2012";"Schijndel";795;119;621;75
"2013";"Schijndel";743;119;707;88
"2014";"Schijndel";796;108;740;65
"2015";"Schijndel";817;165;818;107
"2016";"Schijndel";777;133;822;105
"2017";"Schijndel";;;;
"2018";"Schijndel";;;;
"2019";"Schijndel";;;;
"2020";"Schijndel";;;;
"2021";"Schijndel";;;;
"2022";"Schijndel";;;;
"2023";"Schijndel";;;;
"2002";"Schinnen";550;65;599;96
"2003";"Schinnen";650;78;611;65
"2004";"Schinnen";531;51;631;46
"2005";"Schinnen";629;40;657;109
"2006";"Schinnen";709;60;724;31
"2007";"Schinnen";627;63;694;26
"2008";"Schinnen";616;107;634;41
"2009";"Schinnen";573;179;654;34
"2010";"Schinnen";455;164;639;39
"2011";"Schinnen";463;150;732;68
"2012";"Schinnen";517;68;598;233
"2013";"Schinnen";552;47;532;62
"2014";"Schinnen";610;418;875;43
"2015";"Schinnen";698;313;944;86
"2016";"Schinnen";784;192;868;61
"2017";"Schinnen";893;106;943;55
"2018";"Schinnen";772;69;847;57
"2019";"Schinnen";;;;
"2020";"Schinnen";;;;
"2021";"Schinnen";;;;
"2022";"Schinnen";;;;
"2023";"Schinnen";;;;
"2002";"Schipluiden";329;24;424;35
"2003";"Schipluiden";410;30;480;18
"2004";"Schipluiden";;;;
"2005";"Schipluiden";;;;
"2006";"Schipluiden";;;;
"2007";"Schipluiden";;;;
"2008";"Schipluiden";;;;
"2009";"Schipluiden";;;;
"2010";"Schipluiden";;;;
"2011";"Schipluiden";;;;
"2012";"Schipluiden";;;;
"2013";"Schipluiden";;;;
"2014";"Schipluiden";;;;
"2015";"Schipluiden";;;;
"2016";"Schipluiden";;;;
"2017";"Schipluiden";;;;
"2018";"Schipluiden";;;;
"2019";"Schipluiden";;;;
"2020";"Schipluiden";;;;
"2021";"Schipluiden";;;;
"2022";"Schipluiden";;;;
"2023";"Schipluiden";;;;
"2002";"Schoonhoven";427;65;391;21
"2003";"Schoonhoven";413;40;454;47
"2004";"Schoonhoven";432;20;460;55
"2005";"Schoonhoven";378;26;534;33
"2006";"Schoonhoven";446;27;515;28
"2007";"Schoonhoven";401;30;518;44
"2008";"Schoonhoven";345;24;508;37
"2009";"Schoonhoven";370;35;425;34
"2010";"Schoonhoven";329;35;442;28
"2011";"Schoonhoven";346;44;480;45
"2012";"Schoonhoven";435;34;423;29
"2013";"Schoonhoven";460;33;449;30
"2014";"Schoonhoven";455;42;475;27
"2015";"Schoonhoven";;;;
"2016";"Schoonhoven";;;;
"2017";"Schoonhoven";;;;
"2018";"Schoonhoven";;;;
"2019";"Schoonhoven";;;;
"2020";"Schoonhoven";;;;
"2021";"Schoonhoven";;;;
"2022";"Schoonhoven";;;;
"2023";"Schoonhoven";;;;
"2002";"Schouwen-Duiveland";928;141;967;143
"2003";"Schouwen-Duiveland";942;141;1016;171
"2004";"Schouwen-Duiveland";974;127;844;151
"2005";"Schouwen-Duiveland";1107;94;1029;163
"2006";"Schouwen-Duiveland";962;104;1185;170
"2007";"Schouwen-Duiveland";858;110;933;119
"2008";"Schouwen-Duiveland";919;171;980;115
"2009";"Schouwen-Duiveland";991;141;756;105
"2010";"Schouwen-Duiveland";895;131;842;81
"2011";"Schouwen-Duiveland";840;127;826;106
"2012";"Schouwen-Duiveland";761;128;800;125
"2013";"Schouwen-Duiveland";778;145;924;101
"2014";"Schouwen-Duiveland";880;149;901;98
"2015";"Schouwen-Duiveland";878;149;887;132
"2016";"Schouwen-Duiveland";951;162;892;100
"2017";"Schouwen-Duiveland";1071;123;1031;121
"2018";"Schouwen-Duiveland";1073;152;943;93
"2019";"Schouwen-Duiveland";1029;152;932;110
"2020";"Schouwen-Duiveland";1261;142;937;114
"2021";"Schouwen-Duiveland";1069;141;829;107
"2022";"Schouwen-Duiveland";1128;486;902;177
"2023";"Schouwen-Duiveland";1036;287;967;167
"2002";"Sevenum";233;13;224;11
"2003";"Sevenum";232;17;207;20
"2004";"Sevenum";236;31;205;17
"2005";"Sevenum";256;13;217;12
"2006";"Sevenum";249;26;239;11
"2007";"Sevenum";212;33;242;11
"2008";"Sevenum";244;43;266;3
"2009";"Sevenum";205;34;248;12
"2010";"Sevenum";;;;
"2011";"Sevenum";;;;
"2012";"Sevenum";;;;
"2013";"Sevenum";;;;
"2014";"Sevenum";;;;
"2015";"Sevenum";;;;
"2016";"Sevenum";;;;
"2017";"Sevenum";;;;
"2018";"Sevenum";;;;
"2019";"Sevenum";;;;
"2020";"Sevenum";;;;
"2021";"Sevenum";;;;
"2022";"Sevenum";;;;
"2023";"Sevenum";;;;
"2002";"Simpelveld";475;43;376;93
"2003";"Simpelveld";382;66;378;73
"2004";"Simpelveld";404;48;353;83
"2005";"Simpelveld";339;50;375;75
"2006";"Simpelveld";438;56;392;78
"2007";"Simpelveld";387;40;422;72
"2008";"Simpelveld";361;50;439;72
"2009";"Simpelveld";334;47;393;51
"2010";"Simpelveld";330;44;329;48
"2011";"Simpelveld";360;79;425;56
"2012";"Simpelveld";493;48;438;58
"2013";"Simpelveld";369;38;369;61
"2014";"Simpelveld";404;47;376;41
"2015";"Simpelveld";414;40;469;51
"2016";"Simpelveld";429;42;583;28
"2017";"Simpelveld";506;39;494;44
"2018";"Simpelveld";491;54;527;55
"2019";"Simpelveld";516;57;492;44
"2020";"Simpelveld";498;58;562;56
"2021";"Simpelveld";493;64;521;37
"2022";"Simpelveld";435;117;470;72
"2023";"Simpelveld";393;67;497;75
"2002";"Sint Anthonis";335;72;351;90
"2003";"Sint Anthonis";360;41;376;42
"2004";"Sint Anthonis";320;22;509;68
"2005";"Sint Anthonis";326;12;351;37
"2006";"Sint Anthonis";398;40;354;31
"2007";"Sint Anthonis";327;51;347;53
"2008";"Sint Anthonis";347;27;354;32
"2009";"Sint Anthonis";344;80;309;71
"2010";"Sint Anthonis";302;29;381;17
"2011";"Sint Anthonis";348;23;336;25
"2012";"Sint Anthonis";345;34;385;27
"2013";"Sint Anthonis";345;46;443;43
"2014";"Sint Anthonis";372;29;433;44
"2015";"Sint Anthonis";378;32;416;20
"2016";"Sint Anthonis";412;39;434;27
"2017";"Sint Anthonis";470;44;490;23
"2018";"Sint Anthonis";446;51;439;33
"2019";"Sint Anthonis";484;73;480;37
"2020";"Sint Anthonis";537;22;466;42
"2021";"Sint Anthonis";571;47;471;20
"2022";"Sint Anthonis";;;;
"2023";"Sint Anthonis";;;;
"2002";"Sint-Michielsgestel";799;67;926;71
"2003";"Sint-Michielsgestel";766;68;946;71
"2004";"Sint-Michielsgestel";926;41;944;90
"2005";"Sint-Michielsgestel";990;49;910;68
"2006";"Sint-Michielsgestel";868;69;1007;77
"2007";"Sint-Michielsgestel";980;107;901;52
"2008";"Sint-Michielsgestel";1147;103;1039;95
"2009";"Sint-Michielsgestel";773;91;933;93
"2010";"Sint-Michielsgestel";822;104;878;71
"2011";"Sint-Michielsgestel";860;80;905;62
"2012";"Sint-Michielsgestel";895;113;990;95
"2013";"Sint-Michielsgestel";1048;104;944;85
"2014";"Sint-Michielsgestel";1276;130;1034;87
"2015";"Sint-Michielsgestel";1231;97;1137;120
"2016";"Sint-Michielsgestel";1254;143;1103;82
"2017";"Sint-Michielsgestel";1463;91;1267;116
"2018";"Sint-Michielsgestel";1392;132;1085;85
"2019";"Sint-Michielsgestel";1256;153;1103;82
"2020";"Sint-Michielsgestel";1465;118;1199;69
"2021";"Sint-Michielsgestel";1388;120;1159;81
"2022";"Sint-Michielsgestel";1399;250;1138;125
"2023";"Sint-Michielsgestel";1216;128;1250;104
"2002";"Sint-Oedenrode";386;45;506;67
"2003";"Sint-Oedenrode";370;28;513;42
"2004";"Sint-Oedenrode";464;20;535;68
"2005";"Sint-Oedenrode";554;25;492;58
"2006";"Sint-Oedenrode";558;71;492;59
"2007";"Sint-Oedenrode";555;85;538;73
"2008";"Sint-Oedenrode";564;61;419;59
"2009";"Sint-Oedenrode";594;83;407;52
"2010";"Sint-Oedenrode";439;83;377;60
"2011";"Sint-Oedenrode";460;62;417;56
"2012";"Sint-Oedenrode";449;95;513;32
"2013";"Sint-Oedenrode";456;101;482;82
"2014";"Sint-Oedenrode";502;135;583;62
"2015";"Sint-Oedenrode";547;65;582;78
"2016";"Sint-Oedenrode";598;126;576;102
"2017";"Sint-Oedenrode";;;;
"2018";"Sint-Oedenrode";;;;
"2019";"Sint-Oedenrode";;;;
"2020";"Sint-Oedenrode";;;;
"2021";"Sint-Oedenrode";;;;
"2022";"Sint-Oedenrode";;;;
"2023";"Sint-Oedenrode";;;;
"2002";"Sittard-Geleen";3236;602;3073;902
"2003";"Sittard-Geleen";3030;481;3136;726
"2004";"Sittard-Geleen";2872;566;3037;826
"2005";"Sittard-Geleen";3188;465;3144;854
"2006";"Sittard-Geleen";3041;474;3008;804
"2007";"Sittard-Geleen";2998;537;3116;773
"2008";"Sittard-Geleen";2992;606;3047;768
"2009";"Sittard-Geleen";2829;532;3015;328
"2010";"Sittard-Geleen";2705;521;2988;463
"2011";"Sittard-Geleen";2721;600;2968;520
"2012";"Sittard-Geleen";2846;629;3110;544
"2013";"Sittard-Geleen";2769;589;2951;445
"2014";"Sittard-Geleen";3155;556;2934;485
"2015";"Sittard-Geleen";3298;590;3175;527
"2016";"Sittard-Geleen";3363;571;3242;553
"2017";"Sittard-Geleen";3359;645;3261;750
"2018";"Sittard-Geleen";3224;690;3287;606
"2019";"Sittard-Geleen";3255;815;3270;597
"2020";"Sittard-Geleen";3326;671;3569;480
"2021";"Sittard-Geleen";3585;706;3200;618
"2022";"Sittard-Geleen";3341;1308;3172;617
"2023";"Sittard-Geleen";3820;1077;3343;645
"2002";"Skarsterlân";748;171;926;86
"2003";"Skarsterlân";726;60;1057;46
"2004";"Skarsterlân";777;51;901;90
"2005";"Skarsterlân";851;40;932;66
"2006";"Skarsterlân";934;60;1015;70
"2007";"Skarsterlân";880;85;886;80
"2008";"Skarsterlân";866;91;899;69
"2009";"Skarsterlân";855;65;832;60
"2010";"Skarsterlân";887;87;898;52
"2011";"Skarsterlân";806;117;808;55
"2012";"Skarsterlân";734;92;886;83
"2013";"Skarsterlân";801;87;839;58
"2014";"Skarsterlân";;;;
"2015";"Skarsterlân";;;;
"2016";"Skarsterlân";;;;
"2017";"Skarsterlân";;;;
"2018";"Skarsterlân";;;;
"2019";"Skarsterlân";;;;
"2020";"Skarsterlân";;;;
"2021";"Skarsterlân";;;;
"2022";"Skarsterlân";;;;
"2023";"Skarsterlân";;;;
"2002";"Sliedrecht";753;88;791;65
"2003";"Sliedrecht";747;60;790;71
"2004";"Sliedrecht";744;68;756;50
"2005";"Sliedrecht";739;42;861;57
"2006";"Sliedrecht";699;62;802;63
"2007";"Sliedrecht";682;63;737;58
"2008";"Sliedrecht";858;67;817;93
"2009";"Sliedrecht";729;82;652;48
"2010";"Sliedrecht";730;101;746;75
"2011";"Sliedrecht";868;77;742;101
"2012";"Sliedrecht";906;83;788;79
"2013";"Sliedrecht";839;87;737;97
"2014";"Sliedrecht";807;115;667;103
"2015";"Sliedrecht";940;124;726;171
"2016";"Sliedrecht";995;100;947;111
"2017";"Sliedrecht";934;95;977;95
"2018";"Sliedrecht";1040;96;1022;90
"2019";"Sliedrecht";1014;104;898;65
"2020";"Sliedrecht";1354;104;970;56
"2021";"Sliedrecht";1253;87;976;60
"2022";"Sliedrecht";934;359;912;108
"2023";"Sliedrecht";1094;128;1046;119
"2002";"Slochteren";651;172;760;51
"2003";"Slochteren";619;58;863;78
"2004";"Slochteren";660;54;702;33
"2005";"Slochteren";700;39;703;50
"2006";"Slochteren";901;41;672;48
"2007";"Slochteren";1004;49;717;31
"2008";"Slochteren";800;34;743;105
"2009";"Slochteren";624;38;685;55
"2010";"Slochteren";529;85;609;47
"2011";"Slochteren";592;30;614;53
"2012";"Slochteren";624;48;571;32
"2013";"Slochteren";514;29;580;37
"2014";"Slochteren";608;35;611;33
"2015";"Slochteren";787;42;679;51
"2016";"Slochteren";876;49;851;31
"2017";"Slochteren";768;32;742;8
"2018";"Slochteren";;;;
"2019";"Slochteren";;;;
"2020";"Slochteren";;;;
"2021";"Slochteren";;;;
"2022";"Slochteren";;;;
"2023";"Slochteren";;;;
"2002";"Sluis";;;;
"2003";"Sluis";637;224;834;112
"2004";"Sluis";641;145;548;159
"2005";"Sluis";643;122;550;363
"2006";"Sluis";625;169;555;190
"2007";"Sluis";569;204;565;199
"2008";"Sluis";546;219;578;217
"2009";"Sluis";517;185;526;145
"2010";"Sluis";461;215;490;175
"2011";"Sluis";460;367;602;189
"2012";"Sluis";495;379;545;199
"2013";"Sluis";520;314;555;234
"2014";"Sluis";477;350;524;287
"2015";"Sluis";497;300;559;217
"2016";"Sluis";560;379;562;239
"2017";"Sluis";504;317;584;238
"2018";"Sluis";488;325;557;277
"2019";"Sluis";465;344;566;282
"2020";"Sluis";588;374;571;278
"2021";"Sluis";602;332;539;280
"2022";"Sluis";568;548;552;338
"2023";"Sluis";524;488;613;344
"2002";"Sluis-Aardenburg";244;61;187;74
"2003";"Sluis-Aardenburg";;;;
"2004";"Sluis-Aardenburg";;;;
"2005";"Sluis-Aardenburg";;;;
"2006";"Sluis-Aardenburg";;;;
"2007";"Sluis-Aardenburg";;;;
"2008";"Sluis-Aardenburg";;;;
"2009";"Sluis-Aardenburg";;;;
"2010";"Sluis-Aardenburg";;;;
"2011";"Sluis-Aardenburg";;;;
"2012";"Sluis-Aardenburg";;;;
"2013";"Sluis-Aardenburg";;;;
"2014";"Sluis-Aardenburg";;;;
"2015";"Sluis-Aardenburg";;;;
